1150.14538489, 1773.59795124, 622.854751549, 1551.80048261, 1723.90496385, 572.160389744, 2249.59835161, 1867.72241495, 648.788048723, 861.227193957, 1107.85232758, 384.922613711, 1864.71569698, 1368.22081409, 458.799524226
1476.0528217, 2185.33421571, 813.317875899, 1646.21183051, 1786.00903104, 640.530963682, 2067.21213784, 1713.15158533, 596.203878348, 990.246104359, 1136.0890334, 394.648358442, 1710.34443209, 1270.36190429, 393.198166262
1463.05500697, 1729.15970211, 621.965638626, 2110.64869534, 1660.45589114, 580.996787182, 2742.31891626, 1878.73494897, 674.923635215, 1079.30220978, 1045.22253098, 352.798299127, 2137.58241118, 1274.94669614, 383.225868187
1526.57481624, 1934.05670122, 719.083612436, 1989.26607591, 1745.78344251, 573.004037231, 2298.17207641, 1724.97668833, 538.861682597, 967.268356036, 1069.42580764, 409.597286924, 1850.92759493, 1225.72607648, 406.307107777
1372.75735931, 2030.56227776, 692.399326059, 1567.55520706, 1552.09278565, 502.556896238, 2156.44013019, 1709.54396606, 617.663114831, 909.439511078, 1054.35331212, 350.598341356, 1682.80553814, 1177.49755915, 394.064677077
1444.56775692, 1975.67576166, 736.280452817, 1585.74560115, 1759.42269207, 566.073813813, 2005.25544642, 1751.18933694, 565.880324145, 1183.68380241, 1691.92151447, 573.911609547, 1746.63703363, 1309.01068346, 370.552993264
1461.37544011, 2026.89412704, 654.678621988, 1914.42490463, 2009.53341712, 711.814304061, 2445.90513884, 1906.93617806, 698.529485307, 1054.06277217, 1210.56366585, 416.78752122, 2032.98153543, 1378.0306376, 475.517832752
1219.00602327, 1526.81311984, 576.472161097, 1706.71385733, 1623.49091595, 542.481817068, 2075.77386636, 1731.60409099, 548.032117963, 904.172544128, 991.646591323, 341.404029184, 1687.51832929, 1205.5359484, 358.32495173
1183.83133007, 1703.32678697, 614.364955031, 1554.64872984, 1693.24673381, 607.580144323, 2094.79210975, 1914.11822883, 729.693175821, 944.33790821, 1125.61457241, 430.452506881, 1878.80231165, 1432.60790569, 494.299902336
1398.22449911, 2107.4461984, 721.504202631, 1712.26708919, 1735.06533415, 622.502411896, 2154.44032663, 1696.84910184, 558.350853262, 873.901575352, 1106.4672789, 410.776305941, 1769.99243949, 1251.89984385, 404.934828483
1416.11854921, 1961.08074421, 683.315221438, 1860.08632195, 1865.06776152, 576.799050856, 2463.61526505, 2040.68890692, 643.399036442, 995.499236915, 1298.12614032, 415.521755581, 2003.7976093, 1479.15901752, 462.211360963
1334.81693044, 1729.55173534, 645.074695248, 1695.53267814, 1784.02740156, 611.078886613, 1990.21740942, 1727.69541529, 536.559407494, 909.388682898, 1166.17706821, 379.685984154, 1686.03439764, 1232.45712321, 374.642380047
1674.13923157, 2140.57095571, 745.791776423, 2047.85252111, 1768.67502189, 552.870531983, 2517.60468919, 2027.93989733, 662.319798179, 1095.72440939, 1224.25693137, 411.54967366, 1968.8325399, 1448.67414916, 427.608179164
1283.50455991, 1806.22468937, 665.442223713, 1526.34701981, 1676.63458211, 542.417942596, 1921.11198924, 1694.27253673, 493.076797031, 856.04759447, 1090.1907869, 362.369402486, 1621.75793687, 1252.62888299, 360.246250825
1385.97185156, 1637.29694563, 567.552228674, 1860.13017805, 1514.96720437, 489.370306329, 2358.94713594, 1799.80442365, 637.022087344, 1001.40663741, 1082.84740244, 363.912079401, 1887.65073666, 1279.59211198, 420.360345401
1132.01009781, 1652.64158729, 657.349801684, 1566.29145702, 1629.86557209, 557.264984794, 2111.8537783, 1683.92809562, 525.28662788, 840.940238495, 998.371786535, 345.818752099, 1772.62113386, 1222.75642278, 366.087986857
1407.30273786, 1877.94032168, 628.47691998, 1863.29811102, 1756.7403779, 539.721595758, 2229.33255595, 1958.52514471, 630.494207692, 1007.55765932, 1181.66363275, 375.657935183, 1737.69309064, 1391.60783169, 417.233919601
1223.49169548, 1681.46887989, 636.654942791, 1420.75768434, 1373.70148534, 471.334232567, 1750.70839252, 1443.64975961, 488.632429798, 823.050597345, 947.392740999, 336.257157065, 1406.88787798, 1087.19601665, 352.434219475
1307.2148505, 1668.10083151, 623.581057602, 1626.0432221, 1708.40100427, 542.42761471, 1990.10900454, 1920.21244126, 676.581573822, 967.936950795, 1138.65567122, 387.917338253, 1693.12103918, 1369.04845681, 429.133583474
1016.54009457, 1909.76577316, 817.172842015, 1502.92318415, 2505.12265564, 1004.88778171, 2770.89977456, 3111.49695562, 849.532523255, 626.554690307, 1172.44489627, 521.046724081, 1293.43088961, 1788.11808828, 587.759404641
1075.39005852, 1636.10180618, 624.657229399, 1461.13118296, 1712.24465399, 582.291609865, 2056.06636772, 1837.97984896, 659.324255645, 797.206140057, 1089.37017097, 424.031827074, 1669.07535073, 1303.48662514, 439.780647944
938.636208778, 1961.14637573, 795.805690318, 1345.00149054, 2475.9365093, 962.004225059, 2664.05889961, 3074.95968894, 769.681240572, 604.744541488, 1188.76864838, 451.524775242, 1238.00474751, 1706.48843807, 537.498216785
1379.41985427, 1648.86654357, 587.735609458, 1627.0656408, 1592.81215452, 562.865884966, 2014.27591787, 1766.98626255, 682.161734679, 910.857419842, 1240.1706362, 431.490735045, 1597.04290681, 1344.2851999, 486.423786728
950.940944217, 1919.10453722, 768.801079265, 1697.0910063, 2716.14879181, 909.359914297, 3585.11840599, 3550.7618528, 794.23752037, 652.790335361, 1171.05081832, 437.739787887, 1503.12079595, 1781.3697451, 547.764448772
