1150.14538489, 1773.59795124, 622.854751549, 1551.80048261, 1723.90496385, 572.160389744, 2249.59835161, 1867.72241495, 648.788048723, 861.227193957, 1107.85232758, 384.922613711, 1864.71569698, 1368.22081409, 458.799524226, 1130.11377435, 1696.68726941, 619.548799422, 718.232438393, 1075.48425246, 413.871672167, 1106.75847407, 1490.10913807, 531.000695075, 676.332741431, 1034.45126592, 381.0646128, 1194.47766263, 1868.80094341, 814.918738619, 888.623088868, 1245.24755883, 419.650597384
1463.05500697, 1729.15970211, 621.965638626, 2110.64869534, 1660.45589114, 580.996787182, 2742.31891626, 1878.73494897, 674.923635215, 1079.30220978, 1045.22253098, 352.798299127, 2137.58241118, 1274.94669614, 383.225868187, 1514.4803646, 1771.31416939, 677.47058832, 959.282516572, 1095.69208867, 416.869571502, 1255.59105682, 1608.14711132, 562.463052614, 915.633074215, 1001.33317844, 363.515701431, 1827.44180529, 2496.21414901, 959.418720547, 1020.63625216, 1176.85285318, 401.930313457
1461.37544011, 2026.89412704, 654.678621988, 1914.42490463, 2009.53341712, 711.814304061, 2445.90513884, 1906.93617806, 698.529485307, 1054.06277217, 1210.56366585, 416.78752122, 2032.98153543, 1378.0306376, 475.517832752, 1386.35580909, 1654.02555244, 556.385313087, 884.112244095, 1072.05100235, 396.731081414, 1284.16053508, 1642.37, 599.835480019, 895.417643111, 1065.19399843, 382.546654852, 1730.91730924, 2185.73924491, 800.243426797, 963.117505701, 1241.39523026, 460.576056264
1183.83133007, 1703.32678697, 614.364955031, 1554.64872984, 1693.24673381, 607.580144323, 2094.79210975, 1914.11822883, 729.693175821, 944.33790821, 1125.61457241, 430.452506881, 1878.80231165, 1432.60790569, 494.299902336, 1276.18709299, 1674.54933448, 602.486990442, 775.061517508, 1099.35096774, 440.252925989, 1154.72680177, 1540.2166164, 527.934307588, 763.373852069, 1066.02043106, 391.480052571, 1622.52001158, 2299.74209246, 1014.34608528, 959.248916528, 1233.29318987, 429.23883524
1407.30273786, 1877.94032168, 628.47691998, 1863.29811102, 1756.7403779, 539.721595758, 2229.33255595, 1958.52514471, 630.494207692, 1007.55765932, 1181.66363275, 375.657935183, 1737.69309064, 1391.60783169, 417.233919601, 1334.73078369, 1682.85588597, 589.69742255, 878.843296514, 1133.11303436, 407.62510758, 1170.95136815, 1401.08469279, 498.676787015, 903.368705956, 1169.21267934, 393.74594322, 1568.32498548, 1794.95984004, 684.665064318, 1099.62652376, 1272.45647592, 426.482693807
1075.39005852, 1636.10180618, 624.657229399, 1461.13118296, 1712.24465399, 582.291609865, 2056.06636772, 1837.97984896, 659.324255645, 797.206140057, 1089.37017097, 424.031827074, 1669.07535073, 1303.48662514, 439.780647944, 1047.19370676, 1484.93611298, 605.373789048, 766.617225091, 1209.052639, 484.506315558, 962.866081542, 1404.90465447, 499.921804711, 703.927248599, 1030.94576584, 439.894918905, 1373.86153584, 2128.86907267, 889.713135303, 882.192180292, 1158.30604307, 415.446702404
1379.41985427, 1648.86654357, 587.735609458, 1627.0656408, 1592.81215452, 562.865884966, 2014.27591787, 1766.98626255, 682.161734679, 910.857419842, 1240.1706362, 431.490735045, 1597.04290681, 1344.2851999, 486.423786728, 1322.55962515, 1642.54405089, 592.677465289, 830.934356502, 1200.82875586, 436.629968972, 1120.15986628, 1399.50219484, 522.757805352, 833.304014756, 1070.98373931, 390.714852682, 1519.13354446, 1911.18998902, 757.481636465, 992.529146262, 1243.86444273, 425.951365383
1356.75299248, 1755.46142083, 630.607878859, 1891.44988743, 1736.51808924, 578.941186964, 2458.78162783, 1837.6676881, 698.976983582, 1011.8064201, 1151.2479988, 429.896521301, 1916.81038398, 1368.41677533, 474.005531938, 1259.12720661, 1565.22583024, 564.907020902, 902.583922769, 1176.69090533, 464.344627894, 1212.25775377, 1442.02355371, 523.068318201, 835.263996716, 1070.72974176, 417.769397491, 1408.49029414, 1697.16467823, 720.700566563, 1163.66861659, 1276.69146459, 448.826871554
1546.62251199, 2214.82511317, 759.606856952, 1972.17994543, 1777.73240683, 573.887775775, 2429.19561776, 1839.13071338, 631.703975489, 1020.5186683, 1210.52898409, 394.231015506, 1980.23447154, 1370.56700039, 407.983965966, 1605.35433152, 2364.11200202, 805.443918669, 904.698124358, 1269.42255882, 469.018341553, 1175.40232636, 1560.68816595, 510.823947327, 901.358082539, 1302.82741169, 482.103484081, 1503.96988442, 1953.79823059, 702.316848135, 1109.87909387, 1354.64299148, 438.837200825
1092.32185506, 1558.69569987, 640.403534579, 1656.27349984, 1914.28713353, 1003.58520898, 1926.12905833, 1768.94978704, 627.585003424, 874.683726288, 1054.84813943, 436.953010347, 1599.64113154, 1263.756712, 388.213697237, 1136.36496589, 1589.8838063, 788.700902506, 723.908959218, 932.277000338, 401.648312269, 1071.57773977, 1498.09794475, 741.222342767, 686.144297044, 826.083953296, 326.975210091, 1476.0787657, 2567.99604778, 1570.89962655, 1013.51700313, 1254.57636527, 488.334622911
1127.08718948, 1420.9100312, 576.547196394, 1488.29790199, 1747.21154579, 731.483429058, 1669.03496598, 1560.64569684, 466.62531825, 725.081041855, 865.735589924, 293.889523274, 1534.0504489, 1125.14738018, 336.10312914, 1252.6761042, 1540.16798842, 630.032811045, 928.604365843, 1092.74129764, 396.373029119, 1071.62871893, 1320.30135322, 516.818644771, 736.034569409, 819.006811619, 299.805048555, 1392.8904471, 2036.65301706, 1194.54525933, 795.549077728, 1111.89182071, 439.593456371
